Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
baseline,27.492915471394856,0.8191597594155205,0.21474566558996833,16005532,1000000
lloyd_wopa,27.542328516642254,0.8200682600339254,0.21426167504654986,15983770,1000000
lloyd_wopa_area,27.603835423787434,0.8198797901471456,0.2138143537773026,15988981,1000000
repo MipNeRF360.csv 1M row,27.29,0.811,0.229,16038022,1000000
