Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,data_factor,variant,clustering,distance,weights,max_iter,tol,n_iters,converged,final_error,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,encode_time_s,compress_time_s,decompress_time_s,eval_time_s,source,ckpt_sha1,gsplat_commit,timestamp,dataset,kmeans_backend,kmeans_weighting,peak_mem_bytes,shn_sha1
baseline_lib,23.23360252380371,0.6557396650314331,0.3322463035583496,15875688,1000000,treehill,4,baseline,torchpq,manhattan,none,100,0.0001,,,,0,0,15873857,15875688,12439164,3433631,1062,400.5233082529994,2.763951648001239,403.28725990100065,1.0674958500003413,7.966218106999804,run5,66fcadcf3298034c06227e69e6381e5a539f6980,3bc8eb6cdf12,2026-09-18T00:08:03,mipnerf360,torchpq,,1262404096,7d666d945b2950ec46dc0c0ad65414bba7f84ab0
lloyd_wopa,23.22373390197754,0.6560341119766235,0.33198294043540955,15861687,1000000,treehill,4,candidate,lloyd,euclidean,opacity,100,0.0001,,,,0,0,15859915,15861687,12439164,3419688,1063,303.3778876150009,2.436520456998551,305.8144080719994,1.224544116999823,7.55571577199953,run5,66fcadcf3298034c06227e69e6381e5a539f6980,3bc8eb6cdf12,2026-09-18T00:13:18,mipnerf360,builtin,opacity,3375223296,d4e9b5f28e8b3971bfd4ff2b801ac9ecffc80669
lloyd_wopa_area,23.238508224487305,0.656144380569458,0.33122217655181885,15852475,1000000,treehill,4,candidate,lloyd,euclidean,opacity_area,100,0.0001,,,,0,0,15850599,15852475,12439164,3410372,1063,596.9209823269994,2.5598262660005275,599.4808085929999,0.8459588830010034,7.471202839999023,run5,66fcadcf3298034c06227e69e6381e5a539f6980,3bc8eb6cdf12,2026-09-18T00:23:27,mipnerf360,builtin,opacity_area,3376163840,6be4003e2211ad8ae2686e08418713952a38ba71
