Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,variant,shn_mode,group,codebook_bits,n_clusters,kept_coeffs,png_raw,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,compress_time_s,decompress_time_s,eval_time_s,gsplat_commit,timestamp
baseline,26.881277084350582,0.8424888849258423,0.15159273147583,16449880,1000000,garden,baseline,scalar,,6.0,65536.0,15.0,False,0,0,16445885,16449880,12974323,3470495,1067,433.2370865330013,2.1424169069996424,1.1373519729986583,11.822606395000548,b0998765ed93,2026-09-16T21:19:44
P_png_raw,26.911598205566406,0.8437670469284058,0.1505567878484726,54468432,1000000,garden,decomp,scalar,,6.0,65536.0,15.0,True,0,0,54458575,54468432,0,3470495,470,433.2370865330013,3.692878931999076,1.2058873450005194,11.435320786000377,b0998765ed93,2026-09-16T21:20:02
S_shn_raw,27.281417846679688,0.8533973097801208,0.1348484009504318,179608117,1000000,garden,decomp,raw,,,,,False,0,0,179577945,179608117,12974323,166602618,1004,,11.681359267999142,1.5879123640006585,11.367792855000516,b0998765ed93,2026-09-16T21:20:34
F_float_centroids,26.907611846923828,0.8433103561401367,0.1502933949232101,25957471,1000000,garden,decomp,float,,,65536.0,15.0,False,0,0,25951837,25957471,12974323,12976462,1052,433.2370865330013,2.2592434540001705,0.6746541599986813,11.55953293499988,b0998765ed93,2026-09-16T21:20:49
dim_b5,26.871753692626957,0.8421143293380737,0.1523838639259338,16346555,1000000,garden,dim,group,dim,5.0,65536.0,15.0,False,0,0,16342785,16346555,12974323,3367374,1088,433.2370865330013,2.269487419000143,0.6683427029984159,11.405942654999308,b0998765ed93,2026-09-16T21:21:04
dim_b6,26.89952850341797,0.8430180549621582,0.1507513225078582,16726515,1000000,garden,dim,group,dim,6.0,65536.0,15.0,False,0,0,16722673,16726515,12974323,3747262,1088,433.2370865330013,1.9522889649997524,0.6272583690006286,11.283109312998931,b0998765ed93,2026-09-16T21:21:19
dim_b7,26.90547180175781,0.8432365655899048,0.1503892540931701,17016003,1000000,garden,dim,group,dim,7.0,65536.0,15.0,False,0,0,17012126,17016003,12974323,4036715,1088,433.2370865330013,1.9313374800003655,0.6389644160008174,11.177759530999538,b0998765ed93,2026-09-16T21:21:33
dim_b8,26.907032012939453,0.8432943820953369,0.1503247320652008,17302159,1000000,garden,dim,group,dim,8.0,65536.0,15.0,False,0,0,17298247,17302159,12974323,4322836,1088,433.2370865330013,1.856597222000346,0.6075450469998032,11.123891246999849,b0998765ed93,2026-09-16T21:21:47
band_b5,26.848323822021484,0.8413181304931641,0.1535065323114395,16224960,1000000,garden,band,group,band,5.0,65536.0,15.0,False,0,0,16221193,16224960,12974323,3245781,1089,433.2370865330013,2.250116085000627,0.6510233520002657,11.002847092999218,b0998765ed93,2026-09-16T21:22:02
band_b6,26.893949508666992,0.8427808284759521,0.1510722041130066,16606012,1000000,garden,band,group,band,6.0,65536.0,15.0,False,0,0,16602185,16606012,12974323,3626773,1089,433.2370865330013,1.960317479000878,0.6163756139994803,10.774612028000774,b0998765ed93,2026-09-16T21:22:16
k32768_dim_b6,26.827266693115234,0.8416028022766113,0.1528040021657943,15844621,1000000,garden,kmeans,group,dim,6.0,32768.0,15.0,False,0,0,15840735,15844621,12974323,2865324,1088,217.46426647999945,1.7672902529993737,0.5394742940006836,10.784504206001657,b0998765ed93,2026-09-16T21:26:07
drop3_dim_b6,25.824451446533203,0.8331260681152344,0.1555220484733581,15907347,1000000,garden,kmeans,group,dim,6.0,65536.0,8.0,False,0,0,15903490,15907347,12974323,2928080,1087,226.34585348499968,1.7871955409991642,0.5133073249999143,11.196415030000937,b0998765ed93,2026-09-16T21:30:07
baseline,26.862266540527344,0.8423311710357666,0.1515911221504211,16412541,1000000,garden,baseline,scalar,,6.0,65536.0,15.0,False,1,0,16408528,16412541,12974323,3433138,1067,440.0423214940001,2.119774934999441,0.7998105930000747,11.558205806999467,b0998765ed93,2026-09-16T21:38:06
dim_b5,26.85365867614746,0.8419899940490723,0.1525885909795761,16330496,1000000,garden,dim,group,dim,5.0,65536.0,15.0,False,1,0,16326683,16330496,12974323,3351272,1088,440.0423214940001,2.346754834999956,0.7757776090002153,11.305386976999216,b0998765ed93,2026-09-16T21:38:21
band_b5,26.816574096679688,0.840981662273407,0.1538714170455932,16199714,1000000,garden,band,group,band,5.0,65536.0,15.0,False,1,0,16195906,16199714,12974323,3220494,1089,440.0423214940001,2.144749048000449,0.6321364989998983,11.51393313799963,b0998765ed93,2026-09-16T21:38:36
baseline,26.863601684570312,0.8424428701400757,0.1513795852661132,16440902,1000000,garden,baseline,scalar,,6.0,65536.0,15.0,False,2,0,16436897,16440902,12974323,3461507,1067,438.8017886070011,2.1466425720009283,0.8246458489993529,11.69005109200043,b0998765ed93,2026-09-16T21:46:35
dim_b5,26.853185653686523,0.8420615196228027,0.1522489488124847,16352025,1000000,garden,dim,group,dim,5.0,65536.0,15.0,False,2,0,16348280,16352025,12974323,3372869,1088,438.8017886070011,2.0889925970004697,0.6844936269990285,11.344801986000675,b0998765ed93,2026-09-16T21:46:50
band_b5,26.830114364624023,0.8412712812423706,0.1536436527967453,16225875,1000000,garden,band,group,band,5.0,65536.0,15.0,False,2,0,16222120,16225875,12974323,3246708,1089,438.8017886070011,2.2253464839996013,0.6373700089989143,11.541000383998837,b0998765ed93,2026-09-16T21:47:05
baseline,25.331127166748047,0.7639115452766418,0.2290631979703903,16242031,1000000,bicycle,baseline,scalar,,6.0,65536.0,15.0,False,0,0,16238295,16242031,12620991,3616239,1065,403.80257976199937,2.286894578999636,1.0218512269984783,9.81570470800034,b0998765ed93,2026-09-16T21:19:10
P_png_raw,25.391742706298828,0.7663517594337463,0.2278111577033996,54640664,1000000,bicycle,decomp,scalar,,6.0,65536.0,15.0,True,0,0,54630767,54640664,0,3616239,470,403.80257976199937,3.487144172999251,1.2157828719991812,9.44203888100128,b0998765ed93,2026-09-16T21:19:26
S_shn_raw,25.505075454711918,0.7705754041671753,0.2180305272340774,179563098,1000000,bicycle,decomp,raw,,,,,False,0,0,179533107,179563098,12620991,166911114,1002,,11.393905856000856,1.6418099980000989,9.450691461999668,b0998765ed93,2026-09-16T21:19:55
F_float_centroids,25.342199325561523,0.7642706632614136,0.228824958205223,25600635,1000000,bicycle,decomp,float,,,65536.0,15.0,False,0,0,25595299,25600635,12620991,12973258,1050,403.80257976199937,2.520361474998936,0.648835224999857,9.459134777000145,b0998765ed93,2026-09-16T21:20:09
dim_b5,25.30904197692871,0.7632853388786316,0.2297686338424682,15971092,1000000,bicycle,dim,group,dim,5.0,65536.0,15.0,False,0,0,15967615,15971092,12620991,3345538,1086,403.80257976199937,2.3195964049991744,0.5877942939987406,9.453967503000968,b0998765ed93,2026-09-16T21:20:22
dim_b6,25.33593368530273,0.7640450596809387,0.2290098369121551,16350639,1000000,bicycle,dim,group,dim,6.0,65536.0,15.0,False,0,0,16347105,16350639,12620991,3725028,1086,403.80257976199937,2.1341456760001165,0.6378941950006265,9.5549568309998,b0998765ed93,2026-09-16T21:20:34
dim_b7,25.340744018554688,0.7642152905464172,0.228877991437912,16649082,1000000,bicycle,dim,group,dim,7.0,65536.0,15.0,False,0,0,16645516,16649082,12620991,4023439,1086,403.80257976199937,2.0677306140005385,0.6785386760002439,9.588026401001116,b0998765ed93,2026-09-16T21:20:47
dim_b8,25.34218406677246,0.7642645239830017,0.2288623005151748,16928337,1000000,bicycle,dim,group,dim,8.0,65536.0,15.0,False,0,0,16924708,16928337,12620991,4302631,1086,403.80257976199937,2.022845536999739,0.6334044599989284,9.56497785600004,b0998765ed93,2026-09-16T21:21:00
band_b5,25.309017181396484,0.7631153464317322,0.2296015173196792,15915246,1000000,bicycle,band,group,band,5.0,65536.0,15.0,False,0,0,15911770,15915246,12620991,3289692,1087,403.80257976199937,2.410851904000083,0.624270386999342,9.47275039899978,b0998765ed93,2026-09-16T21:21:13
band_b6,25.334232330322266,0.7639895677566528,0.2289228439331054,16295517,1000000,bicycle,band,group,band,6.0,65536.0,15.0,False,0,0,16291960,16295517,12620991,3669882,1087,403.80257976199937,2.089993773999595,0.6495385300004273,9.519566416000089,b0998765ed93,2026-09-16T21:21:26
k32768_dim_b6,25.290082931518555,0.7628755569458008,0.230605736374855,15468535,1000000,bicycle,kmeans,group,dim,6.0,32768.0,15.0,False,0,0,15464931,15468535,12620991,2842854,1086,203.2983696350002,1.8738818199999516,0.5043296959993313,9.49836266699822,b0998765ed93,2026-09-16T21:25:02
drop3_dim_b6,24.4580078125,0.7532556056976318,0.2335885912179947,15542106,1000000,bicycle,kmeans,group,dim,6.0,65536.0,8.0,False,0,0,15538604,15542106,12620991,2916528,1085,210.26847533199907,1.946682157000396,0.5559989100001985,9.488877091000177,b0998765ed93,2026-09-16T21:28:45
baseline,25.331283569335938,0.7639626860618591,0.2288458198308944,16217116,1000000,bicycle,baseline,scalar,,6.0,65536.0,15.0,False,1,0,16213362,16217116,12620991,3591306,1065,398.40999265499886,2.276599630999044,0.9812688410002012,9.797194358001434,b0998765ed93,2026-09-16T21:37:20
dim_b5,25.31516456604004,0.7634308934211731,0.2292758375406265,15990223,1000000,bicycle,dim,group,dim,5.0,65536.0,15.0,False,1,0,15986731,15990223,12620991,3364654,1086,398.40999265499886,2.3709373729998333,0.5725992709994898,9.399412702001428,b0998765ed93,2026-09-16T21:37:33
band_b5,25.301218032836918,0.7630578279495239,0.229766771197319,15913198,1000000,bicycle,band,group,band,5.0,65536.0,15.0,False,1,0,15909702,15913198,12620991,3287624,1087,398.40999265499886,2.410751272998823,0.6461295160006557,9.53726850000021,b0998765ed93,2026-09-16T21:37:47
baseline,25.324731826782227,0.7639457583427429,0.2291928678750991,16268202,1000000,bicycle,baseline,scalar,,6.0,65536.0,15.0,False,2,0,16264442,16268202,12620991,3642386,1065,400.677728359,2.246370802999081,0.969104783000148,9.815694679000444,b0998765ed93,2026-09-16T21:45:52
dim_b5,25.31242561340332,0.7634174823760986,0.2298759818077087,15988357,1000000,bicycle,dim,group,dim,5.0,65536.0,15.0,False,2,0,15984869,15988357,12620991,3362792,1086,400.677728359,2.324753961000169,0.688119247000941,9.449354475000291,b0998765ed93,2026-09-16T21:46:05
band_b5,25.30900382995605,0.7632371187210083,0.2297628968954086,15939068,1000000,bicycle,band,group,band,5.0,65536.0,15.0,False,2,0,15935560,15939068,12620991,3313482,1087,400.677728359,2.405768221999097,0.6898653129992454,9.486752881999564,b0998765ed93,2026-09-16T21:46:19
