Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,data_factor,variant,clustering,distance,weights,max_iter,tol,n_iters,converged,final_error,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,encode_time_s,compress_time_s,decompress_time_s,eval_time_s,source,ckpt_sha1,gsplat_commit,timestamp
uncompressed,32.37018585205078,0.9377273321151733,0.1719266027212143,,1000000,room,2,uncompressed,,,,,,,,,0,0,236000000,,,,,,,,,24.91521468099927,run4,843339232b480503676f8cd4e7dd1cea9ad78749,f7ce526204b2,2026-09-17T17:51:37
baseline,31.98463249206543,0.9330394864082336,0.17681124806404114,15731092,1000000,room,2,baseline,torchpq,manhattan,none,100,0.0001,,,,0,0,15727712,15731092,12434186,3292460,1066,408.14285009299965,2.7019305609992443,410.8447806539989,1.1267707819988573,24.828072193999105,run4,843339232b480503676f8cd4e7dd1cea9ad78749,f7ce526204b2,2026-09-17T17:58:54
lloyd_wopa,32.010887145996094,0.9332002401351929,0.17661434412002563,15704181,1000000,room,2,candidate,lloyd,euclidean,opacity,100,0.0001,41,True,9.495480480836704e-05,0,0,15700831,15704181,12434186,3265579,1066,234.01108914399992,2.428913220999675,236.4400023649996,1.0078358899991144,25.039208993999637,run4,843339232b480503676f8cd4e7dd1cea9ad78749,f7ce526204b2,2026-09-17T18:03:18
lloyd_wopa_area,32.06923294067383,0.9336980581283569,0.17657089233398438,15697613,1000000,room,2,candidate,lloyd,euclidean,opacity_area,100,0.0001,46,True,5.00500891575939e-06,0,0,15694196,15697613,12434186,3258944,1066,262.55732299599913,2.142839152000306,264.70016214799944,0.803052610001032,24.608752853000624,run4,843339232b480503676f8cd4e7dd1cea9ad78749,f7ce526204b2,2026-09-17T18:08:08
