Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,data_factor,variant,clustering,distance,weights,max_iter,tol,n_iters,converged,final_error,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,encode_time_s,compress_time_s,decompress_time_s,eval_time_s,source,ckpt_sha1,gsplat_commit,timestamp
uncompressed,29.4740047454834,0.9242306351661682,0.1635210961103439,,1000000,counter,2,uncompressed,,,,,,,,,0.0,0.0,236000000.0,,,,,,,,,19.43916553300005,run4,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,f7ce526204b2,2026-09-17T16:33:37
baseline,28.92838287353516,0.913530170917511,0.1743880808353424,15995094.0,1000000,counter,2,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0.0,0.0,15991192.0,15995094.0,12512912.0,3477216.0,1064.0,409.0485143400001,2.263708294000025,411.31222263400014,1.0373624720004957,19.19386478400065,run4,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,f7ce526204b2,2026-09-17T16:40:49
lloyd_wopa,29.012176513671875,0.915507674217224,0.173325777053833,15996525.0,1000000,counter,2,candidate,lloyd,euclidean,opacity,100.0,0.0001,94.0,True,9.523688640911132e-05,0.0,0.0,15992537.0,15996525.0,12512912.0,3478561.0,1064.0,534.6821563350004,2.501909104999868,537.1840654400003,1.031821029000639,19.289428664000297,run4,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,f7ce526204b2,2026-09-17T16:50:07
lloyd_wopa_area,29.116920471191406,0.9151911735534668,0.1730268448591232,16034581.0,1000000,counter,2,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,86.0,True,5.49103606317658e-05,0.0,0.0,16030470.0,16034581.0,12512912.0,3516494.0,1064.0,489.5820369390003,2.01634045100036,491.5983773900007,0.792133795999689,18.34545018499921,run4,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,f7ce526204b2,2026-09-17T16:58:39
uncompressed,31.696407318115234,0.9357914328575134,0.1142828688025474,,1000000,kitchen,2,uncompressed,,,,,,,,,0.0,0.0,236000000.0,,,,,,,,,24.779243057000716,run4,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,f7ce526204b2,2026-09-17T16:57:26
baseline,30.87204933166504,0.9274904727935792,0.123754546046257,15712306.0,1000000,kitchen,2,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0.0,0.0,15708313.0,15712306.0,12120869.0,3586380.0,1064.0,433.5874179129987,2.248240734999854,435.83565864799857,0.8961047669999971,24.81159744400065,run4,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,f7ce526204b2,2026-09-17T17:05:09
lloyd_wopa,30.98431968688965,0.9282066226005554,0.1230197772383689,15679855.0,1000000,kitchen,2,candidate,lloyd,euclidean,opacity,100.0,0.0001,92.0,True,1.2249289284227416e-05,0.0,0.0,15675887.0,15679855.0,12120869.0,3553954.0,1064.0,622.3846225040015,2.716122774001633,625.1007452780032,1.0011949029994869,25.30993076999948,run4,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,f7ce526204b2,2026-09-17T17:16:01
lloyd_wopa_area,31.11947631835937,0.9285764694213868,0.122485376894474,15638347.0,1000000,kitchen,2,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,87.0,True,7.440280023729429e-05,0.0,0.0,15634260.0,15638347.0,12120869.0,3512327.0,1064.0,587.4438915200008,2.660080968000329,590.1039724880011,1.0914185569999972,25.23088358400128,run4,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,f7ce526204b2,2026-09-17T17:26:19
uncompressed,32.37018585205078,0.9377273321151732,0.1719266027212143,,1000000,room,2,uncompressed,,,,,,,,,0.0,0.0,236000000.0,,,,,,,,,24.91521468099927,run4,843339232b480503676f8cd4e7dd1cea9ad78749,f7ce526204b2,2026-09-17T17:51:37
baseline,31.98463249206543,0.9330394864082336,0.1768112480640411,15731092.0,1000000,room,2,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0.0,0.0,15727712.0,15731092.0,12434186.0,3292460.0,1066.0,408.14285009299965,2.7019305609992443,410.8447806539989,1.1267707819988573,24.828072193999105,run4,843339232b480503676f8cd4e7dd1cea9ad78749,f7ce526204b2,2026-09-17T17:58:54
