Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,data_factor,variant,clustering,distance,weights,max_iter,tol,n_iters,converged,final_error,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,encode_time_s,compress_time_s,decompress_time_s,eval_time_s,source,ckpt_sha1,gsplat_commit,timestamp
uncompressed,26.93492889404297,0.7898927927017212,0.2132376730442047,,1000000,stump,4,uncompressed,,,,,,,,,0,0,236000000,,,,,,,,,6.9928268920002665,run4,52715bdb81d53bf3793b4052e6ed656458d74fb3,f7ce526204b2,2026-09-17T15:13:51
baseline,26.644691467285156,0.7787703275680542,0.22928565740585327,15731194,1000000,stump,4,baseline,torchpq,manhattan,none,100,0.0001,,,,0,0,15727518,15731194,12224579,3501874,1065,408.267191637,2.57935356400003,410.846545201,1.1263378519997786,6.223393474999739,run4,52715bdb81d53bf3793b4052e6ed656458d74fb3,f7ce526204b2,2026-09-17T15:20:50
lloyd_wopa,26.66986083984375,0.779373824596405,0.2287607342004776,15710705,1000000,stump,4,candidate,lloyd,euclidean,opacity,100,0.0001,51,True,1.996043647523038e-05,0,0,15706996,15710705,12224579,3481352,1065,289.8405083759999,2.5332540309996148,292.3737624069995,1.0171197849999771,6.284711775999767,run4,52715bdb81d53bf3793b4052e6ed656458d74fb3,f7ce526204b2,2026-09-17T15:25:51
lloyd_wopa_area,26.69283103942871,0.7792905569076538,0.22823795676231384,15740146,1000000,stump,4,candidate,lloyd,euclidean,opacity_area,100,0.0001,81,True,8.817492926027626e-05,0,0,15736366,15740146,12224579,3510722,1065,460.7573363460001,2.536818415000198,463.2941547610003,0.9398969220001163,6.310138648999782,run4,52715bdb81d53bf3793b4052e6ed656458d74fb3,f7ce526204b2,2026-09-17T15:33:42
