scene,metric,weighting,n_splats,n_splats_zero_trace,mean,p05,p25,p50,p75,p95
garden,participation_ratio,unweighted,998603,1397,2.2212007657196304,1.081577046628807,1.3148846166538757,1.9457064672631117,2.7279801658412413,4.504921700296538
garden,participation_ratio,trace_weighted,998603,1397,2.402847368526796,1.0615362509211215,1.260463763033031,2.01427228332979,3.1176797447231284,5.4599238114803175
garden,top1_fraction,unweighted,998603,1397,0.6734587871598336,0.337315512844398,0.5151515114906452,0.665084635099964,0.8638527990112667,0.960884246897737
garden,top1_fraction,trace_weighted,998603,1397,0.6598055218789634,0.2852292238568831,0.4704677828588894,0.6468879967128993,0.8850531548659596,0.9701881958674746
garden,top3_fraction,unweighted,998603,1397,0.9318632119394742,0.7485038257344565,0.89476205056755,0.9729335094252675,0.9965181332636284,0.999776842401185
garden,top3_fraction,trace_weighted,998603,1397,0.9160541682656744,0.6742334449060208,0.8644588930322323,0.9703733403034359,0.9975952053511209,0.999895966794404
