scene,metric,bin_lo,bin_hi,count,count_fraction,trace_fraction
garden,top1_fraction,0.46,0.48,25741,0.025777010483645654,0.028181352546278005
garden,top1_fraction,0.48,0.5,33204,0.03325045087987919,0.031409451366477346
garden,top1_fraction,0.5,0.52,42898,0.042958012343243514,0.03731153166088778
garden,top1_fraction,0.52,0.54,51764,0.051836415472414965,0.03796717687032169
garden,top1_fraction,0.54,0.56,43462,0.04352280135349083,0.0350186317662141
garden,top1_fraction,0.56,0.58,35108,0.03515711448894105,0.026377145606937175
garden,top1_fraction,0.58,0.6,30112,0.030154125313062347,0.022971378920039715
garden,top1_fraction,0.6,0.62,26687,0.026724333894450548,0.02107432699140016
garden,top1_fraction,0.62,0.64,23686,0.023719135632478572,0.017306083927944825
garden,top1_fraction,0.64,0.66,22047,0.022077842746316603,0.016676886294566845
garden,top1_fraction,0.66,0.68,20754,0.020783033898356004,0.01549134293403412
garden,top1_fraction,0.68,0.7000000000000001,20150,0.020178188929935118,0.013420519917936352
garden,top1_fraction,0.7000000000000001,0.72,20390,0.02041852467897653,0.015894865245247115
garden,top1_fraction,0.72,0.74,21592,0.021622206222092263,0.014023968161363524
garden,top1_fraction,0.74,0.76,21845,0.021875560157540084,0.015107010417761179
garden,top1_fraction,0.76,0.78,22672,0.022703717092778613,0.018204789274398028
garden,top1_fraction,0.78,0.8,24125,0.024158749773433488,0.01960299944250634
garden,top1_fraction,0.8,0.8200000000000001,27393,0.02743132155621403,0.02652899065695647
garden,top1_fraction,0.8200000000000001,0.84,34006,0.03405357284125924,0.02973512206151723
garden,top1_fraction,0.84,0.86,35282,0.035331357906996076,0.03017519233401169
garden,top1_fraction,0.86,0.88,34793,0.0348416738183242,0.033321335210322565
garden,top1_fraction,0.88,0.9,33719,0.033766171341363886,0.03179367940960996
garden,top1_fraction,0.9,0.92,30470,0.030512626138715786,0.028724099366824487
garden,top1_fraction,0.92,0.9400000000000001,45433,0.045496558692493416,0.04948180404931869
garden,top1_fraction,0.9400000000000001,0.96,59358,0.059441039131666935,0.06417973585901732
garden,top1_fraction,0.96,0.98,41903,0.041961620383676,0.05858248892279285
garden,top1_fraction,0.98,1.0,10718,0.010732993992607673,0.025268080268055982
garden,top3_fraction,0.0,0.02,0,0.0,0.0
garden,top3_fraction,0.02,0.04,0,0.0,0.0
garden,top3_fraction,0.04,0.06,0,0.0,0.0
garden,top3_fraction,0.06,0.08,0,0.0,0.0
garden,top3_fraction,0.08,0.1,0,0.0,0.0
garden,top3_fraction,0.1,0.12,0,0.0,0.0
garden,top3_fraction,0.12,0.14,0,0.0,0.0
garden,top3_fraction,0.14,0.16,0,0.0,0.0
garden,top3_fraction,0.16,0.18,0,0.0,0.0
garden,top3_fraction,0.18,0.2,0,0.0,0.0
garden,top3_fraction,0.2,0.22,0,0.0,0.0
garden,top3_fraction,0.22,0.24,0,0.0,0.0
garden,top3_fraction,0.24,0.26,0,0.0,0.0
garden,top3_fraction,0.26,0.28,0,0.0,0.0
garden,top3_fraction,0.28,0.3,0,0.0,0.0
garden,top3_fraction,0.3,0.32,0,0.0,0.0
garden,top3_fraction,0.32,0.34,0,0.0,0.0
garden,top3_fraction,0.34,0.36,0,0.0,0.0
