scene,metric,bin_lo,bin_hi,count,count_fraction,trace_fraction
bicycle,top1_fraction,0.38,0.4,37787,0.038314825029607875,0.023626464776089037
bicycle,top1_fraction,0.4,0.42,32758,0.03321557779976963,0.02846350912126626
bicycle,top1_fraction,0.42,0.44,28318,0.0287135579746589,0.01847678123880648
bicycle,top1_fraction,0.44,0.46,24197,0.024534994078424376,0.0178846656471734
bicycle,top1_fraction,0.46,0.48,21188,0.021483963075325685,0.014101746756031286
bicycle,top1_fraction,0.48,0.5,18169,0.018422792387936208,0.011636163699302074
bicycle,top1_fraction,0.5,0.52,15880,0.016101818653774396,0.013673878711285127
bicycle,top1_fraction,0.52,0.54,13487,0.013675392202988367,0.009216950742042793
bicycle,top1_fraction,0.54,0.56,12031,0.012199054170249355,0.009951130151159776
bicycle,top1_fraction,0.56,0.58,11245,0.011402074984993267,0.007330587062143677
bicycle,top1_fraction,0.58,0.6,10317,0.010461112282807963,0.006469853050060935
bicycle,top1_fraction,0.6,0.62,10080,0.010220801765116241,0.007383593834626029
bicycle,top1_fraction,0.62,0.64,9779,0.009915597267963464,0.008270828748780825
bicycle,top1_fraction,0.64,0.66,10038,0.010178215091094924,0.008293611552688622
bicycle,top1_fraction,0.66,0.68,10279,0.010422581482502961,0.00699865713347821
bicycle,top1_fraction,0.68,0.7000000000000001,11261,0.011418298479858532,0.00807691764654251
bicycle,top1_fraction,0.7000000000000001,0.72,12574,0.012749639027239247,0.008763213998228233
bicycle,top1_fraction,0.72,0.74,14072,0.014268563733999578,0.01830638021257216
bicycle,top1_fraction,0.74,0.76,15351,0.01556542935479161,0.01161634348667874
bicycle,top1_fraction,0.76,0.78,16174,0.01639992537192362,0.013029000273144561
bicycle,top1_fraction,0.78,0.8,16326,0.016554048573143628,0.014294716303845479
bicycle,top1_fraction,0.8,0.8200000000000001,16148,0.016373562192767567,0.01659801208257896
bicycle,top1_fraction,0.8200000000000001,0.84,15800,0.016020701179448076,0.016948098717839605
bicycle,top1_fraction,0.84,0.86,16139,0.016364436476905855,0.016404444016390553
bicycle,top1_fraction,0.86,0.88,18162,0.018415694608932658,0.023662597015778643
bicycle,top1_fraction,0.88,0.9,18783,0.01904536900339071,0.026293549074412125
bicycle,top1_fraction,0.9,0.92,23991,0.024326116582034103,0.03688802996308386
bicycle,top1_fraction,0.92,0.9400000000000001,31409,0.03184773438894207,0.049536057386945644
bicycle,top1_fraction,0.9400000000000001,0.96,40937,0.04150882558120671,0.07704036315078468
bicycle,top1_fraction,0.96,0.98,61975,0.06284069339217054,0.09271485876158843
bicycle,top1_fraction,0.98,1.0,109827,0.11136111066045848,0.21338028852846797
bicycle,top3_fraction,0.0,0.02,0,0.0,0.0
bicycle,top3_fraction,0.02,0.04,0,0.0,0.0
bicycle,top3_fraction,0.04,0.06,0,0.0,0.0
bicycle,top3_fraction,0.06,0.08,0,0.0,0.0
bicycle,top3_fraction,0.08,0.1,0,0.0,0.0
bicycle,top3_fraction,0.1,0.12,0,0.0,0.0
bicycle,top3_fraction,0.12,0.14,0,0.0,0.0
bicycle,top3_fraction,0.14,0.16,0,0.0,0.0
bicycle,top3_fraction,0.16,0.18,0,0.0,0.0
bicycle,top3_fraction,0.18,0.2,0,0.0,0.0
bicycle,top3_fraction,0.2,0.22,0,0.0,0.0
bicycle,top3_fraction,0.22,0.24,0,0.0,0.0
bicycle,top3_fraction,0.24,0.26,0,0.0,0.0
bicycle,top3_fraction,0.26,0.28,0,0.0,0.0
bicycle,top3_fraction,0.28,0.3,0,0.0,0.0
bicycle,top3_fraction,0.3,0.32,0,0.0,0.0
bicycle,top3_fraction,0.32,0.34,0,0.0,0.0
bicycle,top3_fraction,0.34,0.36,0,0.0,0.0
bicycle,top3_fraction,0.36,0.38,0,0.0,0.0
bicycle,top3_fraction,0.38,0.4,0,0.0,0.0
bicycle,top3_fraction,0.4,0.42,0,0.0,0.0
bicycle,top3_fraction,0.42,0.44,1,1.0139684290789923e-06,1.2420747870274963e-07
bicycle,top3_fraction,0.44,0.46,26,2.6363179156053797e-05,3.446130200660494e-06
bicycle,top3_fraction,0.46,0.48,66,6.692191631921349e-05,2.0037704748883947e-05
bicycle,top3_fraction,0.48,0.5,152,0.00015412320122000682,9.538716155228793e-05
bicycle,top3_fraction,0.5,0.52,367,0.0003721264134719901,0.0002865934778054646
bicycle,top3_fraction,0.52,0.54,695,0.0007047080582098995,0.0008578834026706808
bicycle,top3_fraction,0.54,0.56,1350,0.0013688573792566396,0.0017474198039216667
bicycle,top3_fraction,0.56,0.58,2870,0.0029100893914567076,0.0035306258133742242
bicycle,top3_fraction,0.58,0.6,5651,0.005729935592725385,0.006329522497537049
bicycle,top3_fraction,0.6,0.62,10564,0.010711562484790474,0.009792591156975845
bicycle,top3_fraction,0.62,0.64,17564,0.01780934148834342,0.013761686404078528
bicycle,top3_fraction,0.64,0.66,25380,0.025734518730024823,0.016463912580042473
bicycle,top3_fraction,0.66,0.68,32794,0.03325208066321647,0.02029230522669729
bicycle,top3_fraction,0.68,0.7000000000000001,38518,0.03905603595126462,0.023962132636835495
bicycle,top3_fraction,0.7000000000000001,0.72,42011,0.04259782767403754,0.02291435788784461
bicycle,top3_fraction,0.72,0.74,43788,0.04439964957251091,0.02649139381557522
bicycle,top3_fraction,0.74,0.76,44585,0.04520778241048687,0.024502192732108224
bicycle,top3_fraction,0.76,0.78,43706,0.04431650416132643,0.025120138619503168
bicycle,top3_fraction,0.78,0.8,40552,0.04111844773601129,0.023968791274815184
bicycle,top3_fraction,0.8,0.8200000000000001,33573,0.034041962069469,0.021703321636535773
bicycle,top3_fraction,0.8200000000000001,0.84,25292,0.025645289508265872,0.015610753006009488
bicycle,top3_fraction,0.84,0.86,18207,0.018461323188241213,0.012020930965920044
bicycle,top3_fraction,0.86,0.88,12952,0.013132919093431106,0.01860853963073433
bicycle,top3_fraction,0.88,0.9,10804,0.010954914907769432,0.0062647616801714155
bicycle,top3_fraction,0.9,0.92,10523,0.010669989779198235,0.004879364234530944
bicycle,top3_fraction,0.92,0.9400000000000001,13574,0.01376360745631824,0.005783941217303642
bicycle,top3_fraction,0.9400000000000001,0.96,26623,0.02699488148737001,0.022451227325468018
bicycle,top3_fraction,0.96,0.98,51810,0.05253370431058259,0.04191440249050466
bicycle,top3_fraction,0.98,1.0,432226,0.43826351822709647,0.630622215279055
